Project,Date,Block,Treatment,Transect,Plot,Species,Cover class,Cover value
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,LITT,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,LITT,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,POJU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,10,TRPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,18,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,21,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,21,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,21,POPR,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,29,BIOS,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,29,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,29,LITT,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,29,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,30,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,30,LITT,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,30,SOIL,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,30,TAOF,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,ALCE,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,34,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,44,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,44,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,44,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,44,PSSP,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,44,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,48,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,48,POPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,48,PSSP,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,3,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,3,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,3,POPR,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,3,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,3,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,ARFR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,4,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,5,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,5,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,5,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,5,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,5,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,LITT,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,POJU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,9,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,PSSP,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,TAOF,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,19,TRPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,ACMI,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,21,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,BIOS,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,KOMA,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,23,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,BIOS,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,HECO,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,LITT,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,26,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,38,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,38,ALCE,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,38,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,38,PSSP,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,38,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,43,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,43,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,43,POPR,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,3,43,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,4,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,4,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,4,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,4,POPR,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,4,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,ASAG,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,BIOS,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,KOMA,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,9,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,ARFR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,ASAG,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,15,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,ARFR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,16,LOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,ACMI,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,HECO,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,19,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,GABO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,26,OXSE,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,34,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,34,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,34,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,34,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,34,SIAL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,ARHO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,PSSP,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,41,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,43,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,43,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,43,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,49,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,49,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,49,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,4,49,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,KOMA,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,POPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,PSSP,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,2,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,BIOS,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,LITT,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,POJU,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,3,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,ARFR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,POJU,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,8,TAOF,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,14,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,14,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,14,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,14,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,14,PSSP,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,17,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,17,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,17,HECO,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,17,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,20,POPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,21,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,ACRI,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,GABO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,27,POJU,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,ACRI,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,ALCE,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,28,POJU,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,POPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,PSSP,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,5,41,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Control,1,3,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Control,1,3,ARFR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Control,1,3,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Control,1,3,BRYO,2,15
